CUST_NAME,C1_Produk,C2_Karakteristik,C3_Durasi,C4_Revenue
ANGKASA PURA 2 KC BANDARA TJILIK RIWUT,0,1.0,12,22702704.0
AP 1 U/ PT GLOBAL EKSPRES SEJATI,1,1.0,12,19800000.0
AP 1 UNTUK PT. DWI UPAYA SUKSES,1,1.0,3,0.0
AP 1 UTK PT. ANGKASA PURA LOGISTIK,1,1.0,12,19800000.0
BADAK LNG,1,1.0,12,92618080.0
BANK BNI KAS SERONGGA KOTABARU,0,1.0,3,-6650000.0
BANK INDONESIA U/ BANK KALBAR,0,1.8686733598463847,6,9042339.0
BANK KALBAR,1,1.3524980501350046,12,68085483.0
BANK KALBAR KETAPANG,1,1.0,12,44700000.0
BEND. PENGELUARAN STHAN-TP,2,1.2995106959807896,12,734918345.0
BEND. RUTIN POLITEKNIK NEGERI PONTIANAK,1,1.0,1,0.0
BENDAHARA INSTITUT AGAMA ISLAM NEGERI (I,1,1.8292101122248567,5,159187639.0
BENDAHARA INSTITUT AGAMA ISLAM NEGERI (IAIN) PALANGKARAYA,1,1.0,1,0.0
BPD KALTIM CAB TIDENG PALE,1,1.0,12,54720000.0
BPD KALTIMTARA CABANG TARAKAN,1,1.0,12,54720000.0
BPD KALTIMTARA SANGATTA,0,1.0,12,6000000.0
BPJS KETENAGAKERJAAN,1,1.0,12,12900000.0
BPJS KETENAGAKERJAAN BANJARMASIN,0,1.0,12,8580000.0
Bag. Keuangan UBT,0,1.0,12,11179355.0
Bend. TVRI STASIUN BANJARMASIN,1,1.0,12,216395034.0
CC60 BADAK NGL CO,2,1.0,12,377724089.0
CC60 BANK KALBAR,5,1.1474533344770332,12,5398350677.0
CC60 BANK KALTENG,6,1.2335220170655912,12,9322777922.0
CC60 LPP TVRI PEMPROP KALTENG,1,1.0,12,0.0
CC60 POLITEKNIK NEGERI SAMARINDA,1,1.0,1,0.0
CC60 PUPUK KALTIM,2,1.0,12,0.0
CC60 SWISS BELTHOTEL TARAKAN,1,1.0,12,133401834.0
CC60 UNIVERSITAS MULAWARMAN,3,1.0,1,-765966138.0
CC60 UNIVERSITAS TANJUNGPURA,4,1.4207073885141877,12,4150311351.0
CV. BINTANG LAUT,1,1.648822453570842,12,86695520.0
Eksplorasi & Produk,2,1.0,1,0.0
Fakultas Ekonomi dan Bisnis Unlam BJM,1,1.0,1,-83933095.0
IAIN JURNAL FAKULTAS TARBIYAH,0,1.0,12,11544087.0
IAIN PALANGKA RAYA LPM,1,1.0,4,2892857.0
IPDN KALBAR,2,1.474571755661418,4,459071568.0
KTR BANK SYARIAH INDONESIA SAMPIT,0,1.0,12,6000000.0
LEMBAGA PENJAMIN MUTU IAIN PLK,1,1.0,1,330331.0
LPP RRI ENTIKONG,1,1.0,4,3856000.0
LPP RRI NUNUKAN,1,1.0,12,33000000.0
PD. BPD KALIMANTAN TIMUR,5,1.2239919350253547,12,9591774234.0
PELABUHAN INDONESIA IV PERSERO,1,1.0,12,61022209.0
PELINDO BONTANG,1,1.0,12,44820000.0
PERTAMINA HULU INDONESIA,2,1.5175547244860488,12,2155121519.0
PERTAMINA HULU KALIMANTAN TIMUR,1,1.0,12,935799760.0
PERTAMINA HULU MAHAKAM,2,1.4939334923708398,12,1544115424.0
PERTAMINA HULU SANGA SANGA,1,1.0,12,1161641025.0
PLN WILAYAH KALBAR,1,1.0,1,0.0
POLITEKNIK BANJARMASIN,2,1.0096193104450748,12,542658440.0
POLITEKNIK KESEHATAN KALIMANTAN TIMUR,2,0.7028375628775098,12,-344327806.0
POLITEKNIK NEGERI BALIKPAPAN,2,1.0,4,415079791.0
POLITEKNIK NEGERI KETAPANG -,4,1.1409477740682212,12,211483503.0
POLITEKNIK NEGERI SAMBAS,2,1.0,12,72000000.0
POLTEKES KEMENKES PALANGKARAYA,2,1.5054998477911337,6,422458964.0
POLTEKES KEMENKES PONTIANAK,2,2.0,2,51577525.0
POLTEKKES KEMENKES BANJARMASIN,2,1.622849890035642,12,160465630.0
PPK UNIVERSITAS BORNEO TARAKAN,2,1.0,12,1135136127.0
PRO TANK TERMINAL,1,1.0,8,41192000.0
PSDKU POLITEKNIK NEGERI SANGGAU,1,2.0,1,705509.0
PSDKU POLNEP SANGGAU,2,1.0,8,-29979778.0
PT ADIMITRA BARATAMA NUSANTARA,1,1.0,12,179516130.0
PT ANGKASA PURA 1,1,1.0,12,61477581.0
PT ANGKASA PURA 1 U/ PT JOVIAL,1,1.0,1,-2286277.0
PT ANGKASA PURA 1 U/ SIP TRUNK,0,1.0,12,48012935.0
PT ANGKASA PURA 1 UTK INDOMART,1,1.0,12,19267742.0
PT ANGKASA PURA I (PERSERO),1,1.0,12,450000000.0
PT ANGKASA PURA SUPPORT,1,2.0681329415584413,12,154000000.0
PT AUTO TEKNIK PERKASA,1,1.0,1,-27870969.0
PT BADAK NGL,1,1.0,4,4291656.0
PT BLACKBEAR RESOURCES INDONESIA,1,1.0,12,134400000.0
PT BPD KALIMANTAN SELATAN,4,1.0335156545960071,12,8746463303.0
PT BPD KALTIM KALTARA,1,1.0,12,31812000.0
PT BUMI JAYA,1,0.9438940305829968,4,-38617406.0
PT BUMIHUTANI LESTARI,1,1.8333333333333333,12,35208000.0
PT BUMIMAS PERMATA ABADI,1,1.0,2,104400000.0
PT CINDARA PRATAMA LINES,1,1.0438927604781876,12,111451933.0
PT D & C ENGINEERING COMPANY,1,1.0,4,-63909090.0
PT DAYA MITRA MULTIPRATAMA,1,1.0,3,0.0
PT EKA DHARMA JAYA SAKTI,1,1.0,12,11328000.0
PT GALANGAN ALIRAN JAYA,1,1.0,12,139608066.0
PT GRAHA POWER KALTIM,1,1.0,12,1275425400.0
PT GRATELINDO LINTAS GLOBAL,1,1.846416382541439,11,94516129.0
PT Hafidz Rifai Putra,1,1.0,6,72607914.0
PT INDONESIA CHEMICAL ALUMINA,1,1.1701333333333332,1,13500000.0
PT INDONESIA COMNET PLUS,2,1.889313882111885,10,134935485.0
PT INDONESIA COMNETS PLUS,1,1.0,8,515482258.0
PT INFOMEDIA NUSANTARA,1,1.0,2,0.0
PT KALTIM NITRATE INDONESIA,0,1.0,12,60762000.0
PT KALTIM PARNA INDUSTRI,3,1.0534654685992413,12,1360471121.0
PT KILANG PERTAMINA INTERNASIONAL,1,1.0,5,200128446.0
PT KOMATSU REMANUFACTURING ASIA,1,1.8333333333333333,12,422640000.0
PT MEINDO ELANG INDAH,1,1.0798848530340928,8,365404678.0
PT NINDYA KARYA,1,1.0,2,70547000.0
PT PELABUHAN INDONESIA PERSERO,1,1.0,4,38504324.0
PT PELAYANAN LISTRIK NASIONAL,0,1.0,10,12035320.0
PT PELINDO U BRANCH BAGENDANG,0,1.8333333333333333,12,6000000.0
PT PEMBANGUNAN PERUMAHAN (PERSERO) Tbk,0,1.0,1,0.0
PT PERTAMINA EP,3,1.0409382797563491,12,1709891095.0
PT PERTAMINA FUEL TERMINAL PBU,0,1.0,1,0.0
PT PERTAMINA HULU MAHAKAM,1,1.0,12,109832258.0
PT PERTAMINA PERSERO,1,1.0,12,610998388.0
PT PERTAMINA PORT AND LOGISTICS,1,1.0,11,262400000.0
PT PERTAMINA TRANS KONTINENTAL,1,1.0,3,-28659661.0
PT PERUSAHAAN LISTRIK NEGARA,1,1.7358146028751602,6,159686964.0
PT PLN (PERSERO),1,1.829450139794968,12,268250000.0
PT PLN NUSANTARA POWER,1,1.0,12,172336780.0
PT PLN RAYON MUARA TEWEH,1,1.0,9,7178225.0
PT PLN UP2D,1,1.909090909090909,12,61369000.0
PT PLN UP2D KALIMANTAN BARAT,2,1.0409451833791816,12,579302400.0
PT PUPUK KALTIM,1,1.5811427517212788,12,3047356600.0
PT Pembangun Perumahan,1,1.0,4,53040400.0
PT SATKOMINDO MEDIYASA,1,1.0,1,740909.0
PT SUCOFINDO,1,1.0,12,116880000.0
PT WASKITA KARYA,2,-2.306106929466327,12,-43014972.0
PT WIJAYA KARYA,1,1.0,3,0.0
PT. ANGKASA PURA I UTK CV. LINTANG,1,1.0,1,-5379064.0
PT. ARTA BATRINDO,1,1.0,1,-4873354.0
PT. BADAK NATURAL GAS LIQUEFACTION,1,1.0,4,501673388.0
PT. BANK KALBAR CABANG SANGGAU,1,1.0,12,27000000.0
PT. BANK MANDIRI (PERSERO) KTR CAB. MUAR,0,1.0,12,6000000.0
PT. BANK MANDIRI (PERSERO) KTR CAB. MUARA TEWER,0,1.0,3,0.0
PT. BANK NEGARA INDONESIA (PERSERO),0,1.8333333333333333,12,11400000.0
PT. BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK,1,1.0,2,0.0
PT. BANK SYARIAH MANDIRI,0,1.0,1,0.0
PT. CAKRA BUANAMAS UTAMA,1,1.0,12,53430000.0
PT. GUNUNG BANGUN REJEKI,1,1.0,12,16296000.0
PT. INDO PUSAKA BERAU,1,1.0,5,-303226.0
PT. INDOKOMAS BUANA PERKASA,1,2.08346709470305,11,137060000.0
PT. INDOMINCO MANDIRI,1,1.0,12,236733334.0
PT. INDONESIA CHEMICAL ALUMINA,1,2.8644886461415515,12,50147798.0
PT. INDONESIA COMNET PLUS,1,1.0,10,65600000.0
PT. INDONESIA COMNETS PLUS,1,1.0,3,-90060637.0
PT. Indonesia Chemical Alumina,1,2.0,1,78759582.0
PT. PELABUHAN INDONESIA,1,1.0,12,34255200.0
PT. PELABUHAN INDONESIA (PERSERO),1,1.0,12,281844492.0
PT. PELINDO TERMINAL PETIKEMAS,0,1.0,12,6000000.0
PT. PERKEBUNAN NUSANTARA XIII,1,1.0,12,177660000.0
PT. PERTAMINA EP,1,-0.3493207954039214,12,-56676663.0
PT. PERTAMINA EP  (REDUNDENT),1,1.0,2,0.0
PT. PERTAMINA HULU ENERGI OSES,0,1.0,1,0.0
PT. PERTAMINA HULU KALIMANTAN TIMUR,3,1.3455555543669482,12,1431179921.0
PT. PERTAMINA HULU MAHAKAM,3,1.0,12,772055974.0
PT. PERTAMINA HULU SANGA SANGA,5,1.874550561695572,12,11064834875.0
PT. PERUSAHAAN LISTRIK NEGARA (PERSERO),1,1.0,12,43045162.0
PT. PILAR CATUR MAKMUR,1,1.028785690595642,12,16739984.0
PT. PLN (PERSERO) KANTOR PUSAT,1,1.0,12,62704356.0
PT. PUPUK KALTIM,1,1.0,12,686903226.0
PT. TELEKOMUNIKASI SELULAR (TELKOMSEL),1,2.0,1,124319416.0
PT. TRI FITA PERKASA,1,1.0,12,248348703.0
PT.ANGKASA PURA INDONESIA,1,1.6349206349206349,12,31500000.0
PT.BINTANG UTAMA DISTRIBUSINDO RAYA,1,1.8000720064805833,7,51995320.0
PT.PATRIA MARITIM PERKASA,1,1.738303050080169,7,90180646.0
PT.PRO TANK TERMINAL,1,1.0,5,12837452.0
RUMAH SAKIT ISLAM BANJARMASIN,1,1.0,12,92340466.0
SEKOLAH TINGGI AGAMA KRISTEN NEGERI (STA,1,1.1474119856650826,12,720594038.0
SEKOLAH TINGGI AGAMA KRISTEN NEGERI (STAKN),1,1.0,3,13352844.0
SMP YPK Bontang,1,1.0,1,0.0
SSO KOMUNITAS PERTAMINA PONTIANAK,0,1.0,1,-1044915.0
TVRI KALBAR,1,1.0,1,-903000.0
TVRI PEMPROP KALTENG,2,1.0,12,38500000.0
ULM FAKULTAS KEDOKTERAN,0,1.0,1,-13054929.0
UNIVERSITAS ISLAM NEGERI ANTASARI,4,1.0,12,-940289100.0
UNIVERSITAS ISLAM NEGERI SULTAN AJI,0,1.0,12,36225400.0
UNIVERSITAS LAMBUNG MANGKURAT,4,1.178852037438198,11,2300135290.0
UNIVERSITAS PALANGKA RAYA,5,1.6980866998528916,12,2318148570.0
UNIVERSITAS PALANGKARAYA WAKIL REKTOR,1,1.0,1,1981982.0
UNTAN,0,1.0,3,-56341938.0
UPR U FAKULTAS KEDOKTERAN,1,1.0,11,62580646.0
YAYASAN RUMAH SAKIT ISLAM,1,1.0,1,-39433334.0
YAYASAN RUMAH SAKIT LNG BADAK,1,1.0,3,79089949.0
pt bimbel artha,1,1.4712,12,21222222221.0
Komatsu Remanufacturing ASIA,3,1.0,21,20000000000.0
